Brand,Model,Year,Selling_Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
18,775,-1.4450743098747214,60000,0.08113906042468783,4,1,1,0
18,1041,-1.4450743098747214,135000,-0.3476891001580582,4,1,1,0
10,505,-0.25879480150364464,600000,0.7243813012988068,1,1,1,0
5,118,0.9274847068674321,250000,-0.4334547322746074,4,1,1,0
9,279,0.2157170018447861,450000,1.603479030493436,1,1,1,2
18,812,-1.4450743098747214,140000,1.2604165020272393,4,1,1,0
10,545,0.6902288051932168,550000,-0.8837243008864907,4,1,1,0
25,1256,0.2157170018447861,240000,-0.1332750198666852,4,1,1,2
10,390,0.45297290351900144,850000,-0.8837243008864907,4,1,1,0
18,834,0.9274847068674321,365000,0.2526703246577862,0,1,1,0
3,75,0.45297290351900144,260000,-0.6693102205951177,4,1,1,0
25,1256,0.2157170018447861,250000,0.7243813012988068,4,1,1,0
26,1354,1.1647406085416476,1650000,-0.8837243008864907,4,0,0,0
18,775,-1.4450743098747214,60000,0.08113906042468783,4,1,1,0
18,1041,-1.4450743098747214,135000,-0.3476891001580582,4,1,1,0
10,505,-0.25879480150364464,600000,0.7243813012988068,1,1,1,0
5,118,0.9274847068674321,250000,-0.4334547322746074,4,1,1,0
9,279,0.2157170018447861,450000,1.603479030493436,1,1,1,2
18,812,-1.4450743098747214,140000,1.2604165020272393,4,1,1,0
10,545,0.6902288051932168,550000,-0.8837243008864907,4,1,1,0
25,1256,0.2157170018447861,240000,-0.1332750198666852,4,1,1,2
10,390,0.45297290351900144,850000,-0.8837243008864907,4,1,1,0
18,834,0.9274847068674321,365000,0.2526703246577862,0,1,1,0
3,75,0.45297290351900144,260000,-0.6693102205951177,4,1,1,0
25,1256,0.2157170018447861,250000,0.7243813012988068,4,1,1,0
26,1354,1.1647406085416476,1650000,-0.8837243008864907,4,0,0,0
18,861,0.45297290351900144,585000,-0.905165708915628,4,0,1,0
10,496,1.401996510215863,1195000,-1.3125524614692368,1,0,1,0
3,69,-0.02153889982942928,390000,-0.7121930366533923,1,1,1,2
12,610,0.2157170018447861,1964999,-0.8194000767990788,1,0,0,0
19,1093,-0.02153889982942928,1425000,-0.1547164278958225,1,0,0,0
18,1021,1.1647406085416476,975000,-1.3232731654838055,1,0,0,0
1,20,-0.49605070317786,1190000,2.351784170710328,1,0,0,0
9,313,1.1647406085416476,930000,-1.1088590851924325,4,0,1,0
25,1334,1.1647406085416476,525000,-1.0981383811778638,4,1,1,0
1,12,-0.02153889982942928,1735000,-0.3476891001580582,1,0,0,0
19,1094,-0.25879480150364464,1375000,-0.6950399102300825,1,0,0,2
24,1197,-0.49605070317786,450000,1.3762001053845807,1,0,0,2
26,1360,0.6902288051932168,900000,-0.3476891001580582,4,1,0,0
26,1398,0.45297290351900144,1300000,0.2955531407160608,1,1,1,0
13,614,1.401996510215863,1400000,-1.2053454213235502,4,1,1,0
19,1084,-0.7333066048520753,850000,1.1317680538524155,4,0,0,0
10,557,0.2157170018447861,229999,-0.1332750198666852,4,1,1,1
2,28,-0.02153889982942928,1550000,0.20549922699368417,1,0,0,2
1,24,-0.9705625065262907,1250000,0.2526703246577862,1,0,0,4
10,407,-0.25879480150364464,625000,-0.5621031804494312,1,1,1,0
17,675,0.2157170018447861,1050000,-0.3476891001580582,1,1,1,0
9,320,0.2157170018447861,560000,0.16690469254123702,1,1,1,2
18,1049,0.2157170018447861,290000,-0.04750938775013598,4,1,1,2
18,1048,-0.25879480150364464,275000,-0.1332750198666852,4,1,1,2
17,686,-0.9705625065262907,411000,1.153209461881553,1,1,1,2
10,476,-0.9705625065262907,150000,0.2741117326869235,4,1,1,4
10,432,1.401996510215863,500000,-1.0981383811778638,4,1,1,0
18,814,-1.682330211548937,100000,0.2955531407160608,4,1,1,0
18,972,0.9274847068674321,725000,-1.0230934530758833,1,0,1,0
18,870,1.1647406085416476,401000,-1.2010571397177228,4,0,1,0
10,606,1.1647406085416476,750000,-0.7979586687699415,1,0,1,0
18,923,1.1647406085416476,310000,-0.8194000767990788,4,0,1,0
18,1009,0.6902288051932168,665000,-0.4334547322746074,1,0,1,0
10,583,0.2157170018447861,465000,0.08113906042468783,1,0,1,0
18,814,-0.25879480150364464,160000,-0.1332750198666852,4,1,1,2
17,647,-4.05488922829109,250000,-0.6693102205951177,1,1,1,2
9,321,0.2157170018447861,675000,0.5099672210074339,1,0,1,0
18,1048,-0.02153889982942928,300000,0.2955531407160608,4,0,1,0
25,1217,-1.9195861132231522,70000,0.2955531407160608,1,1,1,0
10,402,0.2157170018447861,240000,0.15189570692084092,4,0,1,2
26,1370,0.2157170018447861,525000,0.5528500370657085,1,0,1,0
18,814,-0.9705625065262907,151000,0.01175466404239952,4,0,1,2
18,814,-0.9705625065262907,140000,0.7243813012988068,4,1,1,0
3,99,-0.7333066048520753,280000,6.084733308583132,1,1,1,2
26,1356,-0.49605070317786,350000,3.5117643450866565,1,1,1,0
17,677,0.9274847068674321,570000,-0.1332750198666852,1,1,1,0
10,402,1.1647406085416476,300000,-0.7550758527116669,4,1,1,0
25,1251,-1.4450743098747214,100000,-0.5835445884785685,1,1,1,0
26,1414,-0.9705625065262907,500000,1.153209461881553,1,1,1,4
25,1235,0.2157170018447861,125000,2.139514231221869,1,1,1,1
18,954,-1.682330211548937,130000,0.9387953815901798,4,1,1,4
8,154,0.9274847068674321,925000,-0.6693102205951177,1,1,1,0
18,848,1.1647406085416476,750000,-0.1332750198666852,1,1,1,0
9,341,-1.4450743098747214,200000,-0.261923468041509,4,1,0,2
10,563,-0.7333066048520753,248000,-0.06895079577927328,4,1,1,2
24,1185,0.2157170018447861,450000,1.153209461881553,1,1,1,2
10,426,-1.9195861132231522,80000,1.153209461881553,4,1,1,4
21,1120,0.2157170018447861,650000,0.20978750859951162,4,1,1,2
10,447,0.45297290351900144,450000,0.2955531407160608,1,1,1,0
10,413,1.401996510215863,650000,-0.8837243008864907,1,1,1,0
9,270,0.6902288051932168,495000,-1.1633631444024994,4,0,1,0
9,292,0.45297290351900144,371000,-0.9909313410321773,4,0,1,0
10,388,0.9274847068674321,1025000,-1.2267868293526876,4,0,1,0
19,1097,0.9274847068674321,8150000,-1.2803903494255309,1,0,0,0
17,755,0.45297290351900144,750000,0.08113906042468783,1,1,1,0
23,1138,-0.02153889982942928,600000,1.153209461881553,1,1,1,0
10,487,-1.4450743098747214,80000,-0.1761578359249598,4,0,1,2
17,625,-0.02153889982942928,325000,-0.08610392220258313,1,0,1,0
1,13,0.2157170018447861,1470000,-0.690751628624255,1,0,0,2
6,121,0.45297290351900144,350000,-0.2833648760706463,1,1,1,2
1,16,-0.02153889982942928,2800000,-0.3691305081871955,1,0,0,0
5,113,0.9274847068674321,210000,-1.0981383811778638,4,0,1,2
27,1440,-0.02153889982942928,450000,-0.3476891001580582,4,1,1,0
1,5,-0.02153889982942928,1150000,-0.2833648760706463,1,0,0,0
